VGIN_QPID,year,dist_road_miles,dist_water_miles,dist_urban_miles,land_cover_code
5100100048170,2017,0.25484645652206,0,26.0942020988486,5
5100100026180,2017,1.12168020724046,0.713137545668597,42.0159835740079,5
5100100006560,2017,0.0030980729888556,0.51447400788816,29.5664782133176,2
5100100006580,2017,0.0244419775018715,0.599092910244557,29.5885660605227,1
5100100006590,2017,0.00328878945549373,0.58038676535997,29.6144648801051,1
5100100006660,2017,0.0248454085674552,0.39218095479821,29.3152186414325,1
5100100036430,2018,0.825809459777455,0,36.7497541971574,5
5100100002200,2018,1.70679537310133,0.155888381267696,33.4842204700955,5
5100100043510,2018,0.4860070291461,0.132052078812873,37.4189569666262,1
5100100048050,2018,2.18071866720692,0,23.5794824050768,5
5100100005750,2018,0.242270262789243,0.942481501018674,26.1397703046298,3
5100100000080,2018,4.23345947006618,0.00483569881886129,48.4766072814885,5
5100100005410,2019,2.24674588439849,0.298370323261827,50.341891626497,5
5100100043540,2019,0.456110684615577,0,38.4712269001317,5
5100100006020,2019,0.125985138000094,0.223285850419228,27.8680593767657,1
5100100039670,2019,3.14239792717892,0,30.6166935944378,5
5100100026180,2019,1.12168020724046,0.713137545668597,42.0159835740079,5
5100100000460,2019,1.04264824977522,0,27.6735734290733,5
5100100004690,2019,0.126722066079338,0.450570350000236,24.8419049808927,5
5100100005620,2019,1.22895166503617,0,25.7926052914245,5
5100100040250,2019,3.1085130523008,0,31.1943676151275,5
5100100007000,2019,0.767512578405784,0.210671395056613,31.6387779223205,5
5100100042430,2019,0.259678941439355,0.461132911046646,36.9734454052036,5
5100100026930,2019,0.315939074638423,0.852067071190588,45.9598495342682,1
5100100047260,2019,0.671386814543041,0.28511206327238803,36.1687874469185,5
5100100045000,2019,1.44495168526293,0.408504581319971,27.7181387931029,5
5100100043990,2019,2.38573486225658,0.0068234742930283,40.0639033767362,5
5100100045230,2019,1.87008871181291,0,30.5843233105993,1
5100100033970,2019,0.443061265326229,1.52357072939583,41.0077268367023,5
5100100005970,2019,0.0918272500744539,0.694210870955705,27.9261240538503,5
5100100005780,2019,0.800641463429259,1.12594164057695,26.9407380957424,5
5100100024760,2019,1.49196414403897,2.080165976727,47.3002209409897,1
5100100045590,2019,0.866527316571022,0.484708008944634,31.9541769790205,5
5100100045830,2019,0.0277175256814028,0.786442189374822,32.7371038442904,1
5100100047900,2019,0.677094370004688,0,36.8067114206793,1
5100100011160,2019,2.1427470155572,0.284800270798969,53.957476147243,5
5100100043270,2019,0.0342368964320813,0.0526493866950202,37.2370860120451,2
5100100043280,2019,0.00602311995671415,0.0238244463824025,37.2277263709576,1
5100100012880,2019,3.84994180214712,0.101386667520793,46.6536841272926,1
5100100008160,2019,0.497407431721011,0.751615941514549,24.119329563293,1
5100100044990,2019,2.6519768149758,0,27.859801693292,5
5100100035610,2019,3.63700536183617,0,32.8327574285869,5
5100100025380,2019,1.08228237667233,0.245069268926789,49.3452005581672,1
5100100026320,2019,1.3174981351167,0.990841270327848,42.6417513347213,5
5100100024670,2019,0.00630523734411463,0.142549136337376,47.6824959334044,1
5100100038980,2019,0.425160527779942,0.160410448345202,40.7649650855159,5
5100100025930,2019,1.801756704228,0.319428975440836,50.5037623914015,1
5100100039640,2020,2.57080970263998,0,28.2250105953429,5
5100100010140,2020,1.61232193586532,0,30.6769183216217,5
5100100036460,2020,1.32370730364527,0,36.8580217678571,1
5100100002150,2020,2.63393645159154,0.372678099195085,34.6186620882752,5
5100100043480,2020,0.599001864205672,0.208801237319634,37.5943733240359,1
5100100009620,2020,0.0555720855701018,0.03432997772581,52.6088098295141,1
5100100006770,2020,0.245366478357536,0.80489747870405,31.165086862228,5
5100100047260,2020,0.782594849846279,0,36.092594449112,1
5100100048230,2020,1.85374141703568,0,24.0757155247666,5
5100100010120,2020,1.10154101832589,0,30.5244323596878,5
5100100034520,2020,0.754775005016046,1.01091805807427,40.9449908678448,5
5100100034540,2020,0.00621442643376038,0,42.0973022630419,1
5100100004520,2020,2.071128229212,0,23.1504404222582,5
5100100040280,2020,2.17016545197473,0.214125176606284,32.1022530739176,5
5100100043500,2020,0.0728331710775462,0.3725781427485,37.4615488976648,1
5100100033910,2020,0.00306773369906998,1.67655719150021,39.7900813647554,5
5100100023900,2020,5.93391194015378,0.246334157550205,43.6491765051835,5
5100100002140,2020,2.6102221604132,0.322577849956017,34.5246458855263,5
5100100036540,2020,1.41879518857975,0.00121639953902794,37.0745974626442,5
5100100007940,2021,1.54456163330397,0,21.4138544730498,5
5100100025000,2021,0.00658899888993805,0.772435685920585,48.0579301140447,5
5100100026290,2021,1.82586947322104,0.76448446769031,42.9586372948442,5
5100100026080,2021,4.86836122737149,0.274826985211962,58.6252149271217,1
5100100026230,2021,1.58281863628742,0,41.2826676021289,5
5100100008090,2021,0.406532219823881,0.714049951959279,22.8913909768289,5
5100100004730,2021,1.12032110499539,0,23.5175887885592,1
5100100036810,2021,0.316940286758681,1.28401294255083,38.4234223879082,1
5100100044070,2021,1.30420040786254,0,38.9154018950803,5
5100100036500,2021,2.27243005918341,0,37.1105855396591,5
5100100007830,2021,0.95162299797435,0.40387334387279,22.2728914794951,2
5100100038850,2021,0.307028615309234,0,41.8356272299817,5
5100100047200,2021,1.96173092315159,1.04413018340129,34.3640532503419,5
5100100009630,2021,0.0423541621481017,0,52.4746277524721,5
5100100007910,2021,1.11480826002449,0.0107220620705676,21.5584792492949,1
5100100009840,2021,0.148656851275549,0.267036525552088,26.4330839123694,1
5100100045030,2021,1.3259769537081,0.201588309876733,28.1554859292941,5
